ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Flag_cancellation;Sum_contribution_margin_2
3035359;Frau;N;22;0;1;2;2;-;-;-;-;17521,903;2,5;0;0;0;-;-;-;0,147048193;0;0;214,20821691
3035359;Frau;N;22;0;1;2;2;-;-;-;-;17521,903;163,5;0;0;0;-;-;-;0,147048193;0;0;214,20821691
3035359;Frau;N;22;0;1;2;2;-;-;-;-;17521,903;166;0;0;0;-;-;-;0,147048193;0;0;214,20821691
3035375;Herrn;N;22;0;1;1;2;-;-;-;-;883;-;0;0;0;-;-;-;-1;0;0;48,46047
3035482;Firma;J;-;0;0;61;1;31.12.2019;31.12.2019;-;-;254095,52;-;0;0;0;-;-;-;-1,683895174;0;1;370,9794592
3035516;Frau;N;-;0;0;1;2;-;-;-;-;7965,7;-;0;0;0;-;-;-;-1;0;0;192,534343
3035524;Frau;N;28;0;1;1;2;-;-;-;-;926;-;0;0;0;-;-;-;-1,3625;0;0;29,25834
3035532;Frau;N;28;1;1;2;2;-;-;-;-;10257,804;-;0;0;0;-;-;-;-2,364516129;0;0;124,33577708
3035540;Herrn;N;30;0;1;1;2;-;-;-;-;3213,8;-;0;0;0;-;-;-;-1;0;0;92,378742
3035557;Herrn;N;32;0;1;2;2;-;-;-;-;3046,7;-;0;0;0;-;-;-;-2,256938776;0;0;83,360003
3035565;Herrn;N;40;1;0;2;2;-;-;-;-;17114,324;-;0;0;0;-;-;-;-1,032994652;0;0;261,39892228
3035573;Frau und Herrn;N;34;0;0;1;2;-;-;-;-;1344,6;44;0;0;0;-;-;-;-1;0;0;65,581214
3035581;Frau und Herrn;N;34;0;0;1;2;-;-;-;-;1607;-;0;0;0;-;-;-;-1;0;0;75,31363
3035599;Herrn;N;49;0;0;1;2;-;-;-;-;7819,8;-;0;0;0;-;-;-;-1;0;0;362,502782
3035607;-;N;-;0;0;2;2;-;-;-;-;49065,876;-;0;0;0;-;-;-;-4,816368159;0;0;506,45598116
3035615;Herrn;N;38;0;1;2;2;-;-;-;-;14996,3;-;0;0;0;-;-;-;-0,809230769;0;0;208,746447
3035631;Herrn;N;28;1;1;2;2;-;-;-;-;8460,5;-;0;0;0;-;-;-;-2,720933333;0;1;256,135195
3035656;Herrn;N;36;0;1;2;2;-;-;-;-;3826,7;-;0;0;0;-;-;-;-1;0;0;149,472563
3035664;-;N;-;0;1;1;2;-;-;-;-;2244;-;0;0;0;-;-;-;2,48031746;1;0;56,97276
3035672;Frau und Herrn;N;-;0;0;2;2;-;-;-;-;3495,7;-;0;0;0;-;-;-;-1;0;0;126,088583
3035680;Herrn;N;35;0;1;1;2;-;-;-;-;1559;-;0;0;0;-;-;-;-1;0;0;73,53331
3035698;Frau;N;-;0;0;3;2;-;-;-;-;14427,295;-;0;0;0;-;-;-;-1;0;0;180,76436715
3035714;Frau;N;86;0;0;1;2;-;-;-;-;1497,5;8,39;0;0;0;-;-;-;-0,821489362;0;0;71,252275
3035722;Frau;N;25;0;1;1;2;-;-;-;-;1103,8;-;0;0;0;-;-;-;-1,442;0;0;34,163842
3035730;Herrn;N;-;0;0;1;2;-;-;-;-;2523,5;-;0;0;0;-;-;-;-0,064189189;0;0;109,306615
3035755;Frau;N;22;0;1;2;2;-;-;-;-;1756;-;0;0;0;-;-;-;-1;0;0;70,82574
3035763;Frau;N;63;0;0;1;2;-;-;-;-;3644;-;0;0;0;-;-;-;-1;0;0;132,45796
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;303,85;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;905,99;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;954,12;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;958,51;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;1022,4;0;0;0;-;-;-;-;0;1;17518,09157901
