ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Sum_contribution_margin_2
343456;Herrn;N;-;0;0;3;5;-;-;-;-;25834;-;0;0;0;-;-;-;-2,767953488;0;218,80898
343459;Frau;N;27;0;1;2;4;-;-;600;rot;2352,72;2,5;0;0;0;-;-;-;-1,084594595;0;70,328734
343459;Frau;N;27;0;1;2;4;-;-;600;rot;2352,72;43;0;0;0;-;-;-;-1,084594595;0;70,328734
343460;Frau;N;48;0;1;2;5;-;-;-;-;19985,231;-;0;0;0;-;-;-;-3,983962963;0;265,40559707
343461;Frau;N;69;0;0;2;5;-;-;-;-;16077,543;-;0;0;0;-;-;-;-1;0;177,88296471
343463;Frau;N;33;0;1;1;1;-;-;-;-;4243,8;-;0;0;0;-;-;-;-2,170672269;0;165,500942
343471;Frau;N;-;0;0;1;5;-;-;-;-;392;-;0;0;0;-;-;-;-1;0;0
343473;Frau;N;32;0;0;1;5;-;-;-;-;2375,4;-;0;0;0;-;-;-;-3,8596;0;95,376686
343476;Herrn;N;51;0;0;2;5;-;-;-;-;12422;-;0;0;0;-;-;-;-1,539160305;0;190,22566
343477;Frau;N;71;0;0;2;5;-;-;-;-;11573,947;-;0;0;0;-;-;-;-2,739225806;0;209,58947079
343479;Frau;N;39;0;0;1;5;-;-;-;-;3486;-;0;0;0;-;-;-;-1,48212766;0;99,88874
343481;Firma;J;-;0;0;1;5;-;-;-;-;124;-;0;0;0;-;-;-;-5,006;0;0
343482;Herrn;N;-;0;0;1;3;-;-;-;-;1501;-;0;0;0;-;-;-;-1;0;71,38209
343483;Frau;N;26;0;1;1;1;-;-;-;-;1664,8;-;0;0;0;-;-;-;-2,130588235;0;77,457432
343485;Herrn;N;26;1;1;2;5;-;-;-;-;2615,64;-;0;0;0;-;-;-;0,915405405;1;99,099447
343486;Herrn;N;36;0;1;1;0;11.07.2019;11.07.2019;-;-;5918;-;0;0;0;-;-;-;-1;0;201,69762
343488;Frau und Herrn;N;37;0;0;2;3;-;-;-;-;16281,827;2,5;0;0;0;-;-;-;-1,571863636;0;255,15130939
343488;Frau und Herrn;N;37;0;0;2;3;-;-;-;-;16281,827;102;0;0;0;-;-;-;-1,571863636;0;255,15130939
343489;Frau;N;53;0;0;1;5;-;-;-;-;2140;-;0;0;0;-;-;-;-2,354262295;0;62,7526
343490;Frau und Herrn;N;24;0;1;2;1;-;-;-;-;16877,379;-;0;0;0;-;-;-;-0,035279503;0;185,54459263
343491;Herrn;N;28;0;1;2;5;-;-;540;gelb;29472,9;2,5;0;0;0;-;-;-;1,26112;1;296,808661
343491;Herrn;N;28;0;1;2;5;-;-;540;gelb;29472,9;67;0;0;0;-;-;-;1,26112;1;296,808661
343491;Herrn;N;28;0;1;2;5;-;-;540;gelb;29472,9;183;0;0;0;-;-;-;1,26112;1;296,808661
343494;Frau und Herrn;N;34;0;1;1;4;-;-;-;-;266;-;0;0;0;-;-;-;-1,360384615;0;0
343495;Herrn;N;64;0;1;1;5;-;-;-;-;360;-;0;0;0;-;-;-;-0,081578947;0;29,0624
343497;Frau und Herrn;N;-;0;0;2;5;-;-;-;-;36221,822;-;0;0;0;-;-;-;-0,115899281;0;347,55612934
343507;Herrn;N;56;0;1;3;3;-;-;-;-;31895,2;-;0;0;0;1;0;17.11.2018;-1;0;305,495788
343509;Frau;N;38;1;1;1;5;-;-;-;-;2050,1;-;0;0;0;-;-;-;-3,500847458;0;60,272259
343510;Frau und Herrn;N;36;0;1;1;1;28.02.2018;01.03.2018;-;-;4657;-;0;0;0;-;-;-;-5,745;0;192,11663
343512;Frau und Herrn;N;-;0;1;1;5;-;-;-;-;13;9;0;0;0;-;-;-;-1;0;16,19217
